station	id	state	city	owner	website	station_info	subchannels	source	collection_date
KFXA	" ""FOX 28"""	IA	 Cedar Rapids	 Second Generation of Iowa	http://www.kfxa.tv/	 Digital Full-Power - 1000 kW	 28.1 KFXA/Fox	stationindex	2023-05-17 12:50:01.701573
KRIN	" ""IPT"""	IA	 Waterloo	 Iowa Public Broadcasting	http://www.iptv.org/	 Digital Educational Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
KFXB	" ""FOX 28 40"""	IA	 Dubuque	 Christian Television Corporation	http://www.fox2840.com/	 Digital Full-Power - 646 kW		stationindex	2023-05-17 12:50:01.701573
KPXR		IA	 Cedar Rapids	 Ion Media Networks		 Digital Full-Power - 500 kW	 48.1 Ion, 48.2 Qubo, 48.3 Ion Life, 48.4 Ion Shop, 48.5 QVC, 48.6 HSN	stationindex	2023-05-17 12:50:01.701573
WNDU		IN	 South Bend	 Gray Television	http://www.wndu.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WSBT	" ""WSBT 22"""	IN	 South Bend	 Schurz Communications	http://www.wsbt.com/	 Digital Full-Power - 266 kW	 22.1 WSBT/CBS	stationindex	2023-05-17 12:50:01.701573
WMWB-LP	" ""CW 25"""	IN	 South Bend	 Weigel Broadcasting	http://www.thecw25.com/	 Low-Power - 37.8 kW		stationindex	2023-05-17 12:50:01.701573
WSJV	" ""FOX  28"""	IN	 Elkhart	 Quincy Newspapers	http://www.fox28.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WNIT		IN	 South Bend	 Michiana Public Broadcasting	http://www.wnit.org/	 Digital Educational Full-Power - 1380 kW		stationindex	2023-05-17 12:50:01.701573
WHME		IN	 South Bend	 Family Broadcasting Corporation	https://whmetv46.com/	 Digital Full-Power - 300 kW	 46.1 WHME, 46.2 Ion Television, 46.3 Grit, 46.4 Laff, 46.5 Light TV, 46.6 HSN, 46.7 Escape	stationindex	2023-05-17 12:50:01.701573
WBND-LP		IN	 South Bend	 Weigel Broadcasting		 Low-Power - 58.2 kW		stationindex	2023-05-17 12:50:01.701573
WMYS-LP	" ""My Michicana"""	IN	 South Bend	 Weigel Broadcasting	http://www.mymichianatv.com/	 Digital Full-Power - 150 kW		stationindex	2023-05-17 12:50:01.701573
WLBT		MS	 Jackson	 Civco	http://www.wlbt.com/	 Digital Full-Power - 100 kW		stationindex	2023-05-17 12:50:01.701573
WJTV	" ""News Channel 12"""	MS	 Jackson	 Nexstar Media Group	https://www.wjtv.com/	 Digital Full-Power - 49.2 kW		stationindex	2023-05-17 12:50:01.701573
WAPT		MS	 Jackson	 Hearst Television	http://www.wapt.com/	 Digital Full-Power - 4790 kW		stationindex	2023-05-17 12:50:01.701573
WMPN		MS	 Jackson	 Mississippi Authority for Educational TV	http://etv.state.ms.us/	 Digital Educational Full-Power - 966 kW		stationindex	2023-05-17 12:50:01.701573
WRBJ	" ""CW 34"""	MS	 Magee	 Roberts Broadcasting		 Digital Full-Power - 968 kW		stationindex	2023-05-17 12:50:01.701573
WUFX	" ""My 35"""	MS	 Vicksburg	 Mississippi Television, LLC	http://www.fox40now.com/	 Digital Full-Power - 1000 kW		stationindex	2023-05-17 12:50:01.701573
WDBD	" ""FOX 40"""	MS	 Jackson	 Jackson Television, LLC	http://www.fox40now.com/	 Digital Full-Power - 4000 kW		stationindex	2023-05-17 12:50:01.701573
