location	station	Affiliations	website	city	state	broadcaster	source	collection_date
Rochester, NY	WUHF	FOX	https://www.foxrochester.com	Rochester	NY	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Salt Lake City, UT	KENV			Salt Lake City	UT	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Salt Lake City, UT	KJZZ		https://kjzz.com/	Salt Lake City	UT	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Salt Lake City, UT	KUTV	CBS, MyTV	https://kutv.comNewsletter	Salt Lake City	UT	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Salt Lake City, UT	KMYU	MyTV, CBS	https://www.kmyu.tv	Salt Lake City	UT	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
San Angelo	KTXE-LD	ABC		San Angelo		Sinclair	sbgi.net	2023-05-17 12:50:01.701573
San Antonio, TX	KABB	FOX	https://www.foxsanantonio.com/Newsletter	San Antonio	TX	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
San Antonio, TX	KMYS			San Antonio	TX	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
San Antonio, TX	WOAI	NBC, CW	https://www.news4sanantonio.comhttps://cw35.com/Newsletter	San Antonio	TX	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Savannah	WTGS	FOX	https://www.fox28savannah.com	Savannah		Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Seattle - Tacoma, WA	KOMO	ABC	https://www.komonews.comNewsletter	Seattle - Tacoma	WA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Seattle - Tacoma, WA	KUNS	Univision	https://www.univisionseattle.com	Seattle - Tacoma	WA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Sioux City, IA	KPTH	FOX, MyTV, CBS	https://www.siouxlandnews.comNewsletter	Sioux City	IA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Sioux City, IA	KMEG		https://www.siouxlandnews.com/Newsletter	Sioux City	IA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Sioux City, IA	KPTP-LD	FOX, MyTV, CBS	https://www.siouxlandnews.com	Sioux City	IA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Sioux City, IA	KBVK-LD	FOX, MyTV, CBS	https://www.siouxlandnews.com	Sioux City	IA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
South Bend - Elkhart, IN	WSBT	CBS, FOX	https://www.wsbt.comNewsletter	South Bend - Elkhart	IN	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Spokane, WA	KLEW	CBS	https://www.klewtv.comNewsletter	Spokane	WA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
St. Louis, MO	KDNL	ABC	https://www.abcstlouis.comNewsletter	St. Louis	MO	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Syracuse, NY	WSTM	NBC, CW	https://www.cnycentral.comNewsletter	Syracuse	NY	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Syracuse, NY	WTVH	CBS	https://www.cnycentral.comNewsletter	Syracuse	NY	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Tallahassee, FL - Thomasville, GA	WTLF	CW		Tallahassee	FL - Thomasville, GA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Tallahassee, FL - Thomasville, GA	WTWC	NBC, FOX	https://www.wtwc40.comhttps://fox49.tv/	Tallahassee	FL - Thomasville, GA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Toledo, OH	WNWO	NBC	https://nbc24.com/Newsletter	Toledo	OH	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Traverse City - Cadillac, MI	WGTQ	ABC, NBC	https://www.upnorthlive.comNewsletter	Traverse City - Cadillac	MI	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Traverse City - Cadillac, MI	WGTU	ABC, NBC	https://www.upnorthlive.comNewsletter	Traverse City - Cadillac	MI	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Traverse City - Cadillac, MI	WPBN	NBC, ABC	https://www.upnorthlive.comNewsletter	Traverse City - Cadillac	MI	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Traverse City - Cadillac, MI	WTOM	NBC, ABC	https://www.upnorthlive.comNewsletter	Traverse City - Cadillac	MI	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Tri-Cities, TN-VA	WCYB	NBC, CW	https://wcyb.com/Newsletter	Tri-Cities	TN-VA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Tri-Cities, TN-VA	WEMT	FOX	https://wcyb.com/	Tri-Cities	TN-VA	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Tulsa, OK	KTUL	ABC	https://www.ktul.comNewsletter	Tulsa	OK	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Washington, DC	WJLA	ABC	https://www.wjla.comNewsletter	Washington	DC	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Washington, DC	WDCO-CD			Washington	DC	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Washington, DC	WIAV-CD			Washington	DC	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
West Palm Beach - Fort Pierce, FL	WPEC	CBS	https://www.cbs12.comNewsletter	West Palm Beach - Fort Pierce	FL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
West Palm Beach - Fort Pierce, FL	WTCN	MyTV	https://www.my15wtcn.com	West Palm Beach - Fort Pierce	FL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
West Palm Beach - Fort Pierce, FL	WTVX	CW, MyTV	https://www.cw34.com	West Palm Beach - Fort Pierce	FL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
West Palm Beach - Fort Pierce, FL	WWHB		https://www.azteca48.com	West Palm Beach - Fort Pierce	FL	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Wheeling, WV - Steubenville, OH	WTOV	NBC, FOX	https://www.wtov9.comNewsletter	Wheeling	WV - Steubenville, OH	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Wichita - Hutchinson, KS	KAAS	FOX, MyTV	https://www.foxkansas.comhttps://mytvwichita.com	Wichita - Hutchinson	KS	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
Wichita - Hutchinson, KS	KMTW			Wichita - Hutchinson	KS	Sinclair	sbgi.net	2023-05-17 12:50:01.701573
