title	city	state	website	broadcaster	source	collection_date
KXII	Sherman-Ada-Paris	TX	www.kxii.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KXIP	Sherman-Ada-Paris	TX	www.kxii.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KCBD	Lubbock	TX	www.kcbd.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KPHO	Phoenix	AZ	www.azfamily.com/	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WRDW	Augusta-Aiken	GA	www.wrdw.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WBRC	Birmingham	AL	www.wbrc.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WCSC	Charleston	SC	www.live5news.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KNOE	Monroe	LA	www.knoe.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KSLA	Shreveport	LA	www.ksla.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WTVM	Columbus	GA	www.wtvm.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WTOK	Meridian	MS	www.wtok.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KLTV	Tyler-Longview-Lufkin	TX	www.kltv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KOLD	Tucson	AZ	www.kold.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WSFA	Montgomery-Selma	AL	www.wsfa.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WDBD	Jackson	MS	fox40jackson.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WLBT	Jackson	MS	www.wlbt.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WTOC	Savannah	GA	www.wtoc.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KOSA	Odessa - Midland	TX	www.cbs7.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WALB	Albany	GA	www.walb.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KWTX	Waco-Bryan	TX	www.kwtx.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WDAM	Hattiesburg	MS	www.wdam.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KTRE	Tyler-Longview-Lufkin	TX	www.ktre.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KALB	Alexandria	LA	www.kalb.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WTVY	Dothan	AL	www.wtvy.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WALA	Mobile	AL	www.fox10tv.com/	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KBTX	Waco-Bryan	TX	www.kbtx.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WCTV	Tallahassee-Thomasville	FL	www.wctv.tv	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WAFB-WBXH	Baton Rouge 	 LA	www.wafb.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WLOX	Biloxi-Gulfport	MS	www.wlox.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KPLC	Lake Charles	LA	www.kplctv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WJHG	Panama City	FL	www.wjhg.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WVUE	New Orleans	LA	www.fox8live.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
INVESTIGATE TV	New Orleans	LA	www.investigatetv.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WCJB	Gainesville	FL	www.wcjb.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KGNS	Laredo	TX	www.kgns.tv	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WWSB	Sarasota-Tampa-St. Pete	FL	www.mysuncoast.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
WFLX	W. Palm Beach	FL	www.wflx.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
KGMB-KHNL-KOGG-KHBC	Honolulu	HI	www.hawaiinewsnow.com	Gray TV	https://gray.tv/	2023-05-17 10:56:06.089876
